-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,0,21,21,21,21,21,7,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,21,21,21,21,21,21,7,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,21,21,21,21,21,21,21,7,-1,-1,-1,-1
-1,-1,-1,0,21,21,21,21,21,21,21,21,7,-1,-1,-1,-1
-1,-1,-1,0,21,21,21,21,3,4,4,5,21,7,-1,-1,-1
-1,-1,0,21,21,21,21,9,10,10,10,11,21,7,-1,-1,-1
-1,-1,0,21,21,21,21,21,15,16,16,17,21,21,7,-1,-1
-1,0,21,21,21,21,21,21,21,21,21,21,21,21,7,-1,-1
-1,20,21,21,21,21,21,21,21,21,21,21,21,21,21,8,-1
-1,19,21,21,21,21,21,21,21,21,21,21,21,21,12,-1,-1
-1,-1,19,21,21,21,21,21,21,21,21,21,21,21,12,-1,-1
-1,-1,19,21,21,21,21,21,21,21,21,21,21,12,-1,-1,-1
-1,-1,-1,19,21,21,21,21,21,21,21,21,21,12,-1,-1,-1
-1,-1,-1,18,14,14,14,14,14,14,14,14,13,-1,-1,-1,-1
